央视频道,#genre#
CCTV1,http://125.210.152.19:9121/live/hzgq-cctv1gq-h264.m3u8
CCTV1,http://101.19.60.244:9901/tsfile/live/0001_1.m3u8
CCTV1,http://113.24.136.39:8086/udp/239.1.1.7:8007
CCTV2,http://101.71.176.182:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv2.m3u8
CCTV3,http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv3.m3u8
CCTV3,http://111.207.22.10:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://36.96.38.246:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://111.207.22.10:8888/newlive/live/hls/5/live.m3u8
CCTV5,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv5.m3u8
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV6,http://mtw.so/6pfG2z
CCTV6,https://node1.olelive.com:6443/live/CCTV6HD/hls.m3u8
CCTV6,http://183.133.107.230:8899/rtp/233.50.201.198:5140
CCTV7国防军事,http://101.71.176.182:8888/newlive/live/hls/9/live.m3u8
CCTV7国防军事,http://111.207.22.10:8888/newlive/live/hls/9/live.m3u8
CCTV8电视剧,http://61.134.235.95:9999/tsfile/live/0008_1.m3u8
CCTV8电视剧,http://120.197.112.28:9901/tsfile/live/1009_1.m3u8
CCTV9,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv9.m3u8
CCTV9,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV10,http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv10.m3u8
CCTV10,http://111.207.22.10:8888/newlive/live/hls/12/live.m3u8
CCTV11,http://36.96.38.246:8888/newlive/live/hls/13/live.m3u8
CCTV11,http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv11.m3u8
CCTV12,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv12.m3u8
CCTV12,http://111.207.22.10:8888/newlive/live/hls/14/live.m3u8
CCTV13,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv13.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8?auth_key=1635962688
CCTV14,http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv14.m3u8
CCTV14,http://101.71.176.182:8888/newlive/live/hls/16/live.m3u8
CCTV15,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv15.m3u8
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV17农业农村,http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv17.m3u8
CCTV17农业农村,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv17.m3u8
卫视直播,#genre#
北京卫视,http://tljdh.vip:9901/tsfile/live/0122_1.m3u8
北京卫视,http://101.71.176.182:8888/newlive/live/hls/19/live.m3u8
东方卫视,http://220.163.178.144:8888/tsfile/live/0135_2.m3u8
东方卫视,http://101.71.176.182:8888/newlive/live/hls/20/live.m3u8
天津卫视,http://101.71.176.182:8888/newlive/live/hls/41/live.m3u8
天津卫视,http://119.7.169.179:8848/rtp/239.0.0.54:5140
重庆卫视,http://36.96.38.246:8888/newlive/live/hls/31/live.m3u8
重庆卫视,http://101.71.176.182:8888/newlive/live/hls/31/live.m3u8
黑龙江卫视,http://111.225.93.228:33333/hls/27/index.m3u8
黑龙江卫视,http://221.210.64.165:2233/hls/1/index.m3u8
山东卫视,http://36.96.38.246:8888/newlive/live/hls/30/live.m3u8
山东卫视,http://111.207.22.10:8888/newlive/live/hls/30/live.m3u8
安徽卫视,http://220.163.178.144:8888/tsfile/live/0126_1.m3u8
安徽卫视,http://111.207.22.10:8888/newlive/live/hls/25/live.m3u8
湖北卫视,http://36.96.38.246:8888/newlive/live/hls/34/live.m3u8
湖北卫视,http://58.19.38.233:8888/newlive/live/hls/34/live.m3u8
湖南卫视,http://101.71.176.182:8888/newlive/live/hls/23/live.m3u8
湖南卫视,http://1.30.178.123:9901/tsfile/live/0128_1.m3u8
江苏卫视,http://121.237.244.13:8000/rtp/239.49.8.138:6000
江苏卫视,http://36.96.38.246:8888/newlive/live/hls/22/live.m3u8
浙江卫视,http://49.67.178.144:8888/rtp/239.49.8.139:6000
浙江卫视,http://36.96.38.246:8888/newlive/live/hls/24/live.m3u8
广东卫视,http://36.96.38.246:8888/newlive/live/hls/21/live.m3u8
广东卫视,http://101.71.176.182:8888/newlive/live/hls/21/live.m3u8
深圳卫视,http://36.96.38.246:8888/newlive/live/hls/28/live.m3u8
深圳卫视,http://222.188.68.38:8888/newlive/live/hls/45/live.m3u8
东南卫视,http://36.96.38.246:8888/newlive/live/hls/44/live.m3u8
东南卫视,http://183.94.146.109:9901/tsfile/live/1006_1.m3u8
广西卫视,http://110.72.103.246:808/hls/9/index.m3u8
广西卫视,http://101.71.176.182:8888/newlive/live/hls/26/live.m3u8
云南卫视,http://101.71.176.182:8888/newlive/live/hls/27/live.m3u8
云南卫视,http://119.7.169.179:8848/rtp/239.0.0.74:5140
新疆卫视,http://36.96.38.246:8888/newlive/live/hls/38/live.m3u8
新疆卫视,http://119.7.169.179:8848/rtp/239.0.0.111:5140
辽宁卫视,http://36.96.38.246:8888/newlive/live/hls/43/live.m3u8
宁夏卫视,http://101.71.176.182:8888/newlive/live/hls/39/live.m3u8
宁夏卫视,http://36.96.38.246:8888/newlive/live/hls/40/live.m3u8
山西卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
山西卫视,http://tgjf.wlzsyw.cn:9902/tsfile/live/1008_1.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视,http://119.7.169.179:8848/rtp/239.0.0.108:5140
吉林卫视,http://101.71.176.182:8888/newlive/live/hls/35/live.m3u8
吉林卫视,http://119.7.169.179:8848/rtp/239.0.0.191:5140
陕西卫视,http://qdxiehou.7766.org:9901/tsfile/live/0136_1.m3u8
陕西卫视,http://101.71.176.182:8888/newlive/live/hls/40/live.m3u8
三沙卫视,http://171.106.217.220:8181/tsfile/live/1164_1.m3u8
海南卫视,http://36.96.38.246:8888/newlive/live/hls/42/live.m3u8
海南卫视,http://101.71.176.182:8888/newlive/live/hls/49/live.m3u8
内蒙古卫视,http://101.71.176.182:8888/newlive/live/hls/44/live.m3u8
内蒙古卫视,http://36.96.38.246:8888/newlive/live/hls/49/live.m3u8
甘肃卫视,http://101.71.176.182:8888/newlive/live/hls/36/live.m3u8
甘肃卫视,http://111.207.22.10:8888/newlive/live/hls/36/live.m3u8
河南卫视,http://111.207.22.10:8888/newlive/live/hls/33/live.m3u8
星空卫视,http://171.214.202.220:4000/udp/239.93.0.156:2193
星空卫视,http://113.86.206.78:9999/tsfile/live/1060_1.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰卫视,http://mtw.so/5G8GjZ
都市剧场,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000002108/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
都市剧场,http://112.17.52.85/PLTV/88888888/224/3221233659/index.m3u8
爱谍战,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000006000070630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000070630&livemode=1&stbId=3
爱谍战,http://112.17.52.85/PLTV/88888888/224/3221233691/index.m3u8
爱科幻,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000006000020630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000020630&livemode=1&stbId=3
爱科幻,http://112.17.52.85/PLTV/88888888/224/3221233656/index.m3u8
爱浪漫,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000006000040630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000040630&livemode=1&stbId=3
爱浪漫,http://112.17.52.85/PLTV/88888888/224/3221233665/index.m3u8
爱历史,http://112.17.52.85/PLTV/88888888/224/3221233685/index.m3u8
户外旅游,http://112.17.52.85/PLTV/88888888/224/3221233703/index.m3u8
爱体育,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000006000290630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000290630&livemode=1&stbId=3
爱体育,http://112.17.52.85/PLTV/88888888/224/3221233700/index.m3u8
爱喜剧,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000006000010630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000010630&livemode=1&stbId=3
